INDEX ORBITAL_ID_2 ORBITAL_ID_1 Tau K_1
839 1 1 26 6
840 1 1 26 7
841 1 1 26 8
842 1 1 26 9
843 1 1 26 10
844 1 1 26 11
845 1 1 26 12
846 1 1 26 13
847 1 1 26 14
848 1 1 26 15
849 1 1 26 16
850 1 1 26 17
851 1 1 26 18
852 1 1 26 19
853 1 1 26 20
854 1 1 26 21
855 1 1 26 22
856 1 1 26 23
857 1 1 26 24
858 1 1 26 25
859 1 1 26 26
860 1 1 26 27
861 1 1 26 28
862 1 1 26 29
863 1 1 26 30
864 1 1 26 31
865 1 1 27 0
866 1 1 27 1
867 1 1 27 2
868 1 1 27 3
869 1 1 27 4
870 1 1 27 5
871 1 1 27 6
872 1 1 27 7
873 1 1 27 8
874 1 1 27 9
875 1 1 27 10
876 1 1 27 11
877 1 1 27 12
